data_number	common_formula	chemical_formula	structure_name	tc_unit	tc_recommended	journal
3385	(Ba,K)BiO3	Ba0.63K0.37Bi1O3	BKBO	K	30.0	PHYSICA C,195(1992)373
3384	(Ba,K)BiO3	Ba0.63K0.37Bi1O3	BKBO	K	29.1	PHYSICA C,195(1992)373
2232	(Ba,K)BiO3	Ba0.6K0.4Bi1O3	BKBO	K	25.5	PHYS.REV.B,43(1991)7955
2233	(Ba,K)BiO3	Ba0.6K0.4Bi1O3	BKBO	K	25.5	PHYS.REV.B,43(1991)7955
9550	(Ba,K)BiO3	Ba0.6K0.4Bi1O3	BKBO	K	29.0	Phys.Rev.B,61(2000)14815-14820
9551	(Ba,K)BiO3	Ba0.6K0.4Bi1O3	BKBO	K	27.0	Phys.Rev.B,61(2000)14815-14820
9545	(Ba,K)BiO3	Ba0.6K0.4Bi1O3	BKBO	K	31.2	Physica.C,267(1996)270-278
9546	(Ba,K)BiO3	Ba0.6K0.4Bi1O3	BKBO	K	29.1	Physica.C,267(1996)270-278
8345	(Ba,K)BiO3	Ba0.6K0.4Bi1O3+Z	BKBO	K	31.0	Solid State Commun., 108(1998)59
8344	(Ba,K)BiO3	Ba0.6K0.4Bi1O3+Z	BKBO	K	31.0	Solid State Commun., 108(1998)59
157539	Ba0.6K0.4Fe2As2	Ba0.6K0.4Fe2As2	ThCr2Si2	K	39.0	Phys.Rev.B, 87(2013)180502
157540	Ba0.6K0.4Fe2As2	Ba0.6K0.4Fe2As2	ThCr2Si2	K	36.8	Phys.Rev.B, 87(2013)180502
155131	(Ba,K)Fe2As2	Ba0.81K0.19Fe2As2	ThCr2Si2	K	14.0	Phys.Rev.B, 90(2014)104514
155132	(Ba,K)Fe2As2	Ba0.81K0.19Fe2As2	ThCr2Si2	K	9.2	Phys.Rev.B, 90(2014)104514
100467	Ba1	Ba1		K	5.1	ZH.EKSP.TEOR.FIZ.,61(1971)2357, Soviet Physics JETP, 34(1972)1263
100466	Ba1	Ba1		K	4.9	ZH.EKSP.TEOR.FIZ.,61(1971)2357, Soviet Physics JETP, 34(1972)1263
100465	Ba1	Ba1		K	4.7	ZH.EKSP.TEOR.FIZ.,61(1971)2357, Soviet Physics JETP, 34(1972)1263
100464	Ba1	Ba1		K	4.5	ZH.EKSP.TEOR.FIZ.,61(1971)2357, Soviet Physics JETP, 34(1972)1263
8006	Cu(Ba,Sr)2(Yb,Ca)Cu2O6	Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.14	Cu1212	K	47.0	Physica.C,300(1998)17-25
8007	Cu(Ba,Sr)2(Yb,Ca)Cu2O6	Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.14	Cu1212	K	46.0	Physica.C,300(1998)17-25
7989	Cu(Ba,Sr)2(Yb,Ca)Cu2O6	Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.19	Cu1212	K	25.0	Physica.C,300(1998)17-25
7990	Cu(Ba,Sr)2(Yb,Ca)Cu2O6	Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.19	Cu1212	K	23.0	Physica.C,300(1998)17-25
152291	Ba(Fe,Co)2As2	Ba1Fe1.824Co0.176As2	ThCr2Si2	K	21.1	Phys.Rev.B, 82(2010)054507
152292	Ba(Fe,Co)2As2	Ba1Fe1.824Co0.176As2	ThCr2Si2	K	21.0	Phys.Rev.B, 82(2010)054507
158089	Ba(Fe1-xCox)2As2	Ba1Fe1.86Co0.14As2		K	22.5	Phys.Rev.B, 82(2010)060518
158090	Ba(Fe1-xCox)2As2	Ba1Fe1.86Co0.14As2		K	22.3	Phys.Rev.B, 82(2010)060518
158091	Ba(Fe1-xCox)2As2	Ba1Fe1.86Co0.14As2		K	22.0	Phys.Rev.B, 82(2010)060518
152289	Ba(Fe,Co)2As2	Ba1Fe1.874Co0.126As2	ThCr2Si2	K	23.5	Phys.Rev.B, 82(2010)054507
152288	Ba(Fe,Co)2As2	Ba1Fe1.874Co0.126As2	ThCr2Si2	K	23.4	Phys.Rev.B, 82(2010)054507
152284	Ba(Fe,Co)2As2	Ba1Fe1.906Co0.094As2	ThCr2Si2	K	18.5	Phys.Rev.B, 82(2010)054507
152285	Ba(Fe,Co)2As2	Ba1Fe1.906Co0.094As2	ThCr2Si2	K	18.3	Phys.Rev.B, 82(2010)054507
158092	BaFe1-xNix)2As2	Ba1Fe1.91Ni0.09As2		K	18.9	Phys.Rev.B, 82(2010)060518
158093	BaFe1-xNix)2As2	Ba1Fe1.91Ni0.09As2		K	18.27	Phys.Rev.B, 82(2010)060518
158094	BaFe1-xNix)2As2	Ba1Fe1.91Ni0.09As2		K	17.86	Phys.Rev.B, 82(2010)060518
152282	Ba(Fe,Co)2As2	Ba1Fe1.924Co0.076As2	ThCr2Si2	K	11.6	Phys.Rev.B, 82(2010)054507
152281	Ba(Fe,Co)2As2	Ba1Fe1.924Co0.076As2	ThCr2Si2	K	7.4	Phys.Rev.B, 82(2010)054507
157294	BaFe2(As,P)2	Ba1Fe2As1.34P0.66	ThCr2Si2	K	30.0	Nat.Cmmun., 5(2014)5657
157292	BaFe2(As,P)2	Ba1Fe2As1.34P0.66	ThCr2Si2	K	24.6	Nat.Cmmun., 5(2014)5657
157293	BaFe2(As,P)2	Ba1Fe2As1.34P0.66	ThCr2Si2	K	23.2	Nat.Cmmun., 5(2014)5657
157930	BaNb2S5	Ba1Nb2S5		K	1.09	Physica C, 549(2018)88
157931	BaNb2S5	Ba1Nb2S5		K	0.95	Physica C, 549(2018)88
