dataset,regime,method,seed,coverage,cov_lo,cov_hi,coverage_hiTc,cov_hiTc_lo,cov_hiTc_hi,width_mean,width_hiTc,n_test,n_hiTc,n_families,mae
B,deploy,norm_cv,3,0.7965,0.7731,0.8214,0.755,0.6477,0.8343,20.873,41.64,3568,404,919,6.338
B,deploy,norm_cal,3,0.8066,0.783,0.8314,0.7772,0.6748,0.8575,22.183,46.798,3568,404,919,6.338
B,deploy,mondrian_fixed,3,0.7954,0.7624,0.832,0.4629,0.3294,0.5542,19.946,19.946,3568,404,919,6.338
B,deploy,cqr,3,0.8052,0.7726,0.8352,0.5668,0.4593,0.658,29.863,70.47,3568,404,919,6.338
B,deploy,split,4,0.8178,0.7776,0.8548,0.4839,0.3774,0.5896,23.392,23.392,4023,372,919,6.796
B,deploy,oracle_global,4,0.9003,0.8693,0.9265,0.6505,0.5459,0.7388,36.702,36.702,4023,372,919,6.796
B,deploy,oracle_cond,4,0.9006,0.8766,0.9238,0.9032,0.8456,0.9467,34.103,63.616,4023,372,919,6.796
B,deploy,norm_insample,4,0.7947,0.7564,0.8326,0.4677,0.3426,0.5741,19.737,23.643,4023,372,919,6.796
B,deploy,norm_cv,4,0.7798,0.7494,0.8061,0.6344,0.5181,0.7459,21.227,36.795,4023,372,919,6.796
B,deploy,norm_cal,4,0.7788,0.75,0.8058,0.7177,0.6113,0.8087,23.386,44.464,4023,372,919,6.796
B,deploy,mondrian_fixed,4,0.8178,0.7776,0.8548,0.4839,0.3774,0.5896,23.392,23.392,4023,372,919,6.796
B,deploy,cqr,4,0.8655,0.8446,0.8849,0.6237,0.5347,0.7339,31.078,67.711,4023,372,919,6.796
A,iid,split,0,0.895,0.8824,0.9083,0.8406,0.806,0.868,28.713,28.713,6379,1198,2008,5.573
A,iid,oracle_global,0,0.9001,0.8876,0.9126,0.8506,0.8172,0.8756,29.538,29.538,6379,1198,2008,5.573
A,iid,oracle_cond,0,0.9005,0.8877,0.9135,0.9015,0.8757,0.9231,29.117,37.558,6379,1198,2008,5.573
A,iid,norm_cv,0,0.8965,0.8873,0.9047,0.9265,0.9079,0.9446,24.717,37.025,6379,1198,2008,5.573
A,iid,cqr,0,0.8998,0.8904,0.909,0.8189,0.7795,0.8476,37.454,64.696,6379,1198,2008,5.573
A,iid,split,1,0.8932,0.8786,0.9065,0.8531,0.8173,0.8797,28.395,28.395,6379,1205,2050,5.657
A,iid,oracle_global,1,0.9001,0.8854,0.9134,0.8598,0.8256,0.8861,29.676,29.675,6379,1205,2050,5.657
A,iid,oracle_cond,1,0.9005,0.8867,0.9132,0.9012,0.8688,0.9265,29.567,36.348,6379,1205,2050,5.657
A,iid,norm_cv,1,0.8958,0.8872,0.9046,0.917,0.8967,0.9343,24.633,37.069,6379,1205,2050,5.657
A,iid,cqr,1,0.9001,0.8923,0.9088,0.849,0.8134,0.8739,37.29,62.024,6379,1205,2050,5.657
A,iid,split,2,0.9022,0.8897,0.9155,0.8336,0.7927,0.8641,30.277,30.277,6379,1166,2053,5.54
A,iid,oracle_global,2,0.9001,0.8873,0.9132,0.8319,0.7894,0.8637,29.781,29.781,6379,1166,2053,5.54
A,iid,oracle_cond,2,0.9005,0.8879,0.9112,0.9014,0.8683,0.9281,29.625,43.748,6379,1166,2053,5.54
A,iid,norm_cv,2,0.9023,0.8934,0.9102,0.9082,0.8832,0.928,24.667,38.95,6379,1166,2053,5.54
A,iid,cqr,2,0.9044,0.894,0.913,0.7959,0.7502,0.8311,37.323,64.96,6379,1166,2053,5.54
A,iid,split,3,0.903,0.8903,0.9156,0.839,0.7998,0.8701,29.37,29.37,6379,1230,2012,5.545
A,iid,oracle_global,3,0.9001,0.8879,0.9124,0.835,0.7943,0.8672,28.737,28.737,6379,1230,2012,5.545
A,iid,oracle_cond,3,0.9003,0.8882,0.9112,0.9008,0.8684,0.9225,28.449,40.342,6379,1230,2012,5.545
A,iid,norm_cv,3,0.9072,0.8991,0.9164,0.9244,0.9087,0.9434,25.649,40.086,6379,1230,2012,5.545
A,iid,cqr,3,0.8992,0.8895,0.9086,0.8106,0.7747,0.8398,38.253,65.713,6379,1230,2012,5.545
A,iid,split,4,0.8914,0.8797,0.9037,0.8221,0.7872,0.8515,29.418,29.418,6379,1220,2041,5.725
A,iid,oracle_global,4,0.9001,0.8882,0.913,0.8361,0.8029,0.8637,30.918,30.918,6379,1220,2041,5.725
A,iid,oracle_cond,4,0.9003,0.889,0.9125,0.9008,0.8726,0.9217,30.514,41.229,6379,1220,2041,5.725
